"weightid","weight","activation.type","dataset","n","response.levels","n.levels","n.predictors","cluster","dataset.cluster","layer"
"h3_w61",-0.120267525315285,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w62",0.0802594423294067,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w63",-0.515516877174377,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w64",0.258363425731659,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w65",0.194222167134285,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w66",-0.471251249313354,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w67",-0.185028105974197,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w68",-0.44958433508873,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w69",-0.233949065208435,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w70",0.410066276788712,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w71",-0.53292840719223,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w72",-0.277497917413712,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w73",0.115991294384003,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w74",-0.464052855968475,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w75",-0.457745373249054,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w76",-0.371828526258469,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w77",0.432700663805008,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w78",-0.382906913757324,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w79",-0.264167547225952,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w80",0.197772428393364,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w81",-0.287972271442413,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w82",0.0813445523381233,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w83",0.0261438544839621,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w84",-0.525519907474518,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w85",-0.136804208159447,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w86",0.0458868518471718,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w87",0.118716083467007,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w88",0.00467770965769887,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w89",0.45280858874321,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w90",-0.00617203302681446,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w91",0.342141419649124,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w92",0.383034110069275,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w93",-0.32156041264534,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w94",0.495546847581863,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w95",0.0902005955576897,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w96",-0.453945904970169,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w97",0.384203732013702,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w98",0.530040621757507,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h3_w99",0.415716171264648,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden3"
"h4_w00",-0.515517473220825,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w01",-0.35694682598114,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w02",-0.0479268692433834,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w03",0.412255197763443,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w04",0.177692100405693,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w05",0.513470470905304,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w06",0.0743061676621437,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w07",-0.36439973115921,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w08",0.115045085549355,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w09",-0.496198654174805,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w10",-0.140862494707108,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w11",0.349395245313644,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w12",-0.239597052335739,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w13",0.3033527135849,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w14",-0.146305993199348,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w15",0.399618655443192,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w16",0.404849797487259,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w17",0.44869938492775,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w18",0.0166862700134516,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w19",-0.432308524847031,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w20",0.357009589672089,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w21",0.494866073131561,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w22",0.509612321853638,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w23",0.115789607167244,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w24",-0.440925091505051,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w25",-0.0470704436302185,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w26",0.513312637805939,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w27",-0.0634078830480576,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w28",0.217523470520973,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w29",-0.20423099398613,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w30",0.0889453589916229,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w31",-0.252025812864304,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w32",0.368500590324402,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w33",-0.381182610988617,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w34",-0.165871322154999,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w35",0.27784052491188,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w36",0.292276948690414,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w37",-0.102046646177769,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w38",0.480987548828125,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w39",0.191969364881516,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w40",0.452597707509995,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w41",-0.193229541182518,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w42",-0.1049570068717,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w43",-0.537403047084808,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w44",-0.0626905485987663,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w45",-0.302036136388779,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w46",0.20087157189846,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w47",0.223380044102669,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w48",0.214317411184311,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w49",-0.0362968519330025,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w50",-0.208697289228439,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w51",0.445547193288803,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w52",-0.310431808233261,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w53",-0.338983058929443,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w54",-0.34719330072403,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w55",-0.192564561963081,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w56",0.237706243991852,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w57",-0.318293571472168,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w58",-0.0309747420251369,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w59",0.228893950581551,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w60",0.424766063690186,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w61",-0.013600398786366,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w62",0.0649826899170876,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w63",-0.25090417265892,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w64",-0.429838716983795,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w65",-0.45245772600174,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w66",0.0418588891625404,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w67",0.450322031974792,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w68",0.374512434005737,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w69",0.140604451298714,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w70",-0.0261859633028507,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w71",0.374301552772522,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w72",0.194402724504471,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w73",-0.264072149991989,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w74",0.283067911863327,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w75",-0.498662710189819,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w76",0.0810259208083153,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w77",-0.239139825105667,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w78",-0.139091834425926,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w79",-0.54645437002182,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w80",-0.113729886710644,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w81",0.19233937561512,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w82",-0.386025816202164,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w83",-0.386921495199203,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
"h4_w84",0.269797921180725,"rectifier","acute",120,"no;yes",2,7,2,5,"Hidden4"
